,dataset,folder,cell_type
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,"CD16-negative, CD56-bright natural killer cell, human"
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,"CD16-positive, CD56-dim natural killer cell, human"
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,mucosal invariant T cell
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,plasmablast
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,conventional dendritic cell
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated"
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,group 3 innate lymphoid cell
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,"CD8-positive, alpha-beta memory T cell, CD45RO-positive"
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,T follicular helper cell
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,mast cell
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,naive B cell
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,non-classical monocyte
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,"CD8-positive, alpha-beta memory T cell"
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,"dendritic cell, human"
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,regulatory T cell
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,"effector memory CD4-positive, alpha-beta T cell"
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,progenitor cell
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,pro-B cell
9,GTEX-1CAMS-5015.csv,Breast_GTEx_Portal,Fibroblast
9,GTEX-1CAMS-5015.csv,Breast_GTEx_Portal,Muscle
10,GTEX-1MCC2-5013.csv,Breast_GTEx_Portal,Fibroblast
10,GTEX-1MCC2-5013.csv,Breast_GTEx_Portal,Muscle
12,4506d9e3-4543-4464-aeae-b0b04eee1cea.csv,Large_Intestine_CxG_Portal,enteroendocrine cell
12,4506d9e3-4543-4464-aeae-b0b04eee1cea.csv,Large_Intestine_CxG_Portal,dendritic cell
12,4506d9e3-4543-4464-aeae-b0b04eee1cea.csv,Large_Intestine_CxG_Portal,monocyte
12,4506d9e3-4543-4464-aeae-b0b04eee1cea.csv,Large_Intestine_CxG_Portal,gut absorptive cell
12,4506d9e3-4543-4464-aeae-b0b04eee1cea.csv,Large_Intestine_CxG_Portal,leukocyte
12,4506d9e3-4543-4464-aeae-b0b04eee1cea.csv,Large_Intestine_CxG_Portal,erythroid lineage cell
12,4506d9e3-4543-4464-aeae-b0b04eee1cea.csv,Large_Intestine_CxG_Portal,plasmacytoid dendritic cell
12,4506d9e3-4543-4464-aeae-b0b04eee1cea.csv,Large_Intestine_CxG_Portal,naive T cell
12,4506d9e3-4543-4464-aeae-b0b04eee1cea.csv,Large_Intestine_CxG_Portal,group 3 innate lymphoid cell
12,4506d9e3-4543-4464-aeae-b0b04eee1cea.csv,Large_Intestine_CxG_Portal,neural cell
12,4506d9e3-4543-4464-aeae-b0b04eee1cea.csv,Large_Intestine_CxG_Portal,inhibitory motor neuron
12,4506d9e3-4543-4464-aeae-b0b04eee1cea.csv,Large_Intestine_CxG_Portal,transit amplifying cell of colon
12,4506d9e3-4543-4464-aeae-b0b04eee1cea.csv,Large_Intestine_CxG_Portal,intestinal crypt stem cell of large intestine
12,4506d9e3-4543-4464-aeae-b0b04eee1cea.csv,Large_Intestine_CxG_Portal,intestinal crypt stem cell of small intestine
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,mast cell
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,macrophage
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,lymphocyte
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,animal cell
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,alveolar macrophage
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,plasmacytoid dendritic cell
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,memory B cell
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,naive B cell
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,regulatory T cell
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,classical monocyte
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,"naive thymus-derived CD4-positive, alpha-beta T cell"
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,"naive thymus-derived CD8-positive, alpha-beta T cell"
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,"effector memory CD4-positive, alpha-beta T cell"
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,"CD16-negative, CD56-bright natural killer cell, human"
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,"CD16-positive, CD56-dim natural killer cell, human"
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,mucosal invariant T cell
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,conventional dendritic cell
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,"dendritic cell, human"
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated"
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,group 3 innate lymphoid cell
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,"CD8-positive, alpha-beta memory T cell, CD45RO-positive"
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,T follicular helper cell
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,alpha-beta T cell
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,non-classical monocyte
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,progenitor cell
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,CD4-positive helper T cell
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,plasma cell
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,gamma-delta T cell
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,"CD8-positive, alpha-beta memory T cell"
13,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Large_Intestine_CxG_Portal,plasmablast
14,9dfd2243-74d6-4924-86bd-c206ca9287b1.csv,Large_Intestine_CxG_Portal,motor neuron
14,9dfd2243-74d6-4924-86bd-c206ca9287b1.csv,Large_Intestine_CxG_Portal,secretory cell
14,9dfd2243-74d6-4924-86bd-c206ca9287b1.csv,Large_Intestine_CxG_Portal,neuroendocrine cell
14,9dfd2243-74d6-4924-86bd-c206ca9287b1.csv,Large_Intestine_CxG_Portal,dendritic cell
14,9dfd2243-74d6-4924-86bd-c206ca9287b1.csv,Large_Intestine_CxG_Portal,natural killer cell
14,9dfd2243-74d6-4924-86bd-c206ca9287b1.csv,Large_Intestine_CxG_Portal,leukocyte
14,9dfd2243-74d6-4924-86bd-c206ca9287b1.csv,Large_Intestine_CxG_Portal,plasmacytoid dendritic cell
14,9dfd2243-74d6-4924-86bd-c206ca9287b1.csv,Large_Intestine_CxG_Portal,naive T cell
14,9dfd2243-74d6-4924-86bd-c206ca9287b1.csv,Large_Intestine_CxG_Portal,group 3 innate lymphoid cell
14,9dfd2243-74d6-4924-86bd-c206ca9287b1.csv,Large_Intestine_CxG_Portal,interstitial cell of Cajal
14,9dfd2243-74d6-4924-86bd-c206ca9287b1.csv,Large_Intestine_CxG_Portal,neural cell
14,9dfd2243-74d6-4924-86bd-c206ca9287b1.csv,Large_Intestine_CxG_Portal,inhibitory motor neuron
14,9dfd2243-74d6-4924-86bd-c206ca9287b1.csv,Large_Intestine_CxG_Portal,transit amplifying cell of colon
14,9dfd2243-74d6-4924-86bd-c206ca9287b1.csv,Large_Intestine_CxG_Portal,intestinal crypt stem cell of small intestine
14,9dfd2243-74d6-4924-86bd-c206ca9287b1.csv,Large_Intestine_CxG_Portal,progenitor cell
15,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Large_Intestine_CxG_Portal,fibroblast
15,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Large_Intestine_CxG_Portal,gut endothelial cell
15,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Large_Intestine_CxG_Portal,B cell
15,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Large_Intestine_CxG_Portal,"CD8-positive, alpha-beta T cell"
15,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Large_Intestine_CxG_Portal,neutrophil
15,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Large_Intestine_CxG_Portal,paneth cell of colon
15,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Large_Intestine_CxG_Portal,intestinal tuft cell
15,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Large_Intestine_CxG_Portal,intestinal enteroendocrine cell
15,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Large_Intestine_CxG_Portal,mast cell
15,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Large_Intestine_CxG_Portal,transit amplifying cell of colon
15,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Large_Intestine_CxG_Portal,intestinal crypt stem cell of large intestine
16,GTEX-15CHR-5005.csv,Lung_GTEx_Portal,Muscle
17,GTEX-13N11-5030.csv,Lung_GTEx_Portal,Muscle
18,GTEX-1HSMQ-5005.csv,Lung_GTEx_Portal,Muscle
19,aad97cb5-f375-45ef-ae9d-178e7f5d5180.csv,Eye_CxG_Portal,retinal ganglion cell
20,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.csv,Eye_CxG_Portal,bipolar neuron
20,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.csv,Eye_CxG_Portal,astrocyte
20,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.csv,Eye_CxG_Portal,microglial cell
20,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.csv,Eye_CxG_Portal,cell of skeletal muscle
20,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.csv,Eye_CxG_Portal,smooth muscle cell
20,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.csv,Eye_CxG_Portal,stromal cell
20,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.csv,Eye_CxG_Portal,corneal epithelial cell
20,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.csv,Eye_CxG_Portal,endothelial cell of vascular tree
20,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.csv,Eye_CxG_Portal,retinal pigment epithelial cell
20,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.csv,Eye_CxG_Portal,lens fiber cell
20,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.csv,Eye_CxG_Portal,ganglion interneuron
20,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.csv,Eye_CxG_Portal,retina horizontal cell
20,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.csv,Eye_CxG_Portal,photoreceptor cell
20,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.csv,Eye_CxG_Portal,amacrine cell
20,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.csv,Eye_CxG_Portal,retinal ganglion cell
20,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.csv,Eye_CxG_Portal,Muller cell
21,d5c67a4e-a8d9-456d-a273-fa01adb1b308.csv,Eye_CxG_Portal,microglial cell
21,d5c67a4e-a8d9-456d-a273-fa01adb1b308.csv,Eye_CxG_Portal,amacrine cell
21,d5c67a4e-a8d9-456d-a273-fa01adb1b308.csv,Eye_CxG_Portal,retinal ganglion cell
21,d5c67a4e-a8d9-456d-a273-fa01adb1b308.csv,Eye_CxG_Portal,retinal cone cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,stem cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,fibroblast
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,T cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,mast cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,surface ectodermal cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,endothelial cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,microglial cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,melanocyte
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,macrophage
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,B cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,dendritic cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,stromal cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,corneal epithelial cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,monocyte
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,"CD4-positive, alpha-beta T cell"
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,"CD8-positive, alpha-beta T cell"
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,radial glial cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,retina horizontal cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,retinal bipolar neuron
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,erythroid lineage cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,plasma cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,pigmented ciliary epithelial cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,keratocyte
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,retinal blood vessel endothelial cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,retinal pigment epithelial cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,Muller cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,epithelial cell of lacrimal sac
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,eye photoreceptor cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,fat cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,retinal ganglion cell
22,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Eye_CxG_Portal,conjunctival epithelial cell
23,0129dbd9-a7d3-4f6b-96b9-1da155a93748.csv,Eye_CxG_Portal,glial cell
23,0129dbd9-a7d3-4f6b-96b9-1da155a93748.csv,Eye_CxG_Portal,amacrine cell
23,0129dbd9-a7d3-4f6b-96b9-1da155a93748.csv,Eye_CxG_Portal,retinal cone cell
23,0129dbd9-a7d3-4f6b-96b9-1da155a93748.csv,Eye_CxG_Portal,retina horizontal cell
23,0129dbd9-a7d3-4f6b-96b9-1da155a93748.csv,Eye_CxG_Portal,retinal bipolar neuron
23,0129dbd9-a7d3-4f6b-96b9-1da155a93748.csv,Eye_CxG_Portal,retinal rod cell
24,08e94873-c2a6-4f7d-ab72-aeaff3e3f929.csv,Intestine_CxG_Portal,motor neuron
24,08e94873-c2a6-4f7d-ab72-aeaff3e3f929.csv,Intestine_CxG_Portal,secretory cell
24,08e94873-c2a6-4f7d-ab72-aeaff3e3f929.csv,Intestine_CxG_Portal,neuroendocrine cell
24,08e94873-c2a6-4f7d-ab72-aeaff3e3f929.csv,Intestine_CxG_Portal,monocyte
24,08e94873-c2a6-4f7d-ab72-aeaff3e3f929.csv,Intestine_CxG_Portal,pericyte cell
24,08e94873-c2a6-4f7d-ab72-aeaff3e3f929.csv,Intestine_CxG_Portal,gut absorptive cell
24,08e94873-c2a6-4f7d-ab72-aeaff3e3f929.csv,Intestine_CxG_Portal,leukocyte
24,08e94873-c2a6-4f7d-ab72-aeaff3e3f929.csv,Intestine_CxG_Portal,group 3 innate lymphoid cell
24,08e94873-c2a6-4f7d-ab72-aeaff3e3f929.csv,Intestine_CxG_Portal,intestine goblet cell
25,b9b4cf27-9c22-410d-8bd8-5d43e379485b.csv,Intestine_CxG_Portal,mesothelial cell
25,b9b4cf27-9c22-410d-8bd8-5d43e379485b.csv,Intestine_CxG_Portal,interneuron
25,b9b4cf27-9c22-410d-8bd8-5d43e379485b.csv,Intestine_CxG_Portal,glial cell
25,b9b4cf27-9c22-410d-8bd8-5d43e379485b.csv,Intestine_CxG_Portal,enteroendocrine cell
25,b9b4cf27-9c22-410d-8bd8-5d43e379485b.csv,Intestine_CxG_Portal,transit amplifying cell of small intestine
25,b9b4cf27-9c22-410d-8bd8-5d43e379485b.csv,Intestine_CxG_Portal,intestinal crypt stem cell of small intestine
